Test Function,Algorithm,Trial,Best Score,Time (s)
Ackley,PSO,1,0.1607327573400359,0.02332282066345215
Ackley,PSO,2,0.07580106038199164,0.025307178497314453
Ackley,PSO,3,0.08949212757818303,0.02478933334350586
Ackley,PSO,4,0.03221086290735231,0.02655792236328125
Ackley,PSO,5,0.09222177841961399,0.02078843116760254
Ackley,PSO,6,0.022222013859309886,0.017464160919189453
Ackley,PSO,7,0.0292926818034549,0.018121957778930664
Ackley,PSO,8,1.1584884277876992,0.017834901809692383
Ackley,PSO,9,1.1792377802394438,0.01971602439880371
Ackley,PSO,10,0.06221972606282877,0.01926112174987793
Ackley,PSO,11,0.025538068570992056,0.01769423484802246
Ackley,PSO,12,0.06552153721292031,0.01867508888244629
Ackley,PSO,13,0.038413479207481505,0.018522024154663086
Ackley,PSO,14,0.012714399549701216,0.018688440322875977
Ackley,PSO,15,0.08365871345204612,0.017571449279785156
Ackley,PSO,16,0.04057072781772719,0.016091585159301758
Ackley,PSO,17,0.08499629842581813,0.019429922103881836
Ackley,PSO,18,0.062117079414783394,0.017590999603271484
Ackley,PSO,19,0.11187686743477387,0.0180206298828125
Ackley,PSO,20,0.056024857710543774,0.0207974910736084
Ackley,PSO,21,1.156778930249026,0.017911911010742188
Ackley,PSO,22,0.09762633117755515,0.017184019088745117
Ackley,PSO,23,0.08190287977883459,0.017257213592529297
Ackley,PSO,24,0.037089379601955574,0.017163515090942383
Ackley,PSO,25,0.054502480495227434,0.016993999481201172
Ackley,PSO,26,0.03661480763933911,0.01690530776977539
Ackley,PSO,27,0.09328958777206653,0.017862796783447266
Ackley,PSO,28,0.05341329775159709,0.018334150314331055
Ackley,PSO,29,0.0472259509826185,0.019263505935668945
Ackley,PSO,30,0.04548657738296358,0.01732611656188965
Ackley,ACO,1,0.3680316005930746,8.585338354110718
Ackley,ACO,2,0.5452287869736385,-6.136984586715698
Ackley,ACO,3,0.8374192891629986,1.5517947673797607
Ackley,ACO,4,0.1548602527248062,1.545760154724121
Ackley,ACO,5,0.24067305504157632,1.3484153747558594
Ackley,ACO,6,0.20901357310377522,1.4008774757385254
Ackley,ACO,7,0.3433576440704411,1.2695984840393066
Ackley,ACO,8,0.28920029664251645,1.4650602340698242
Ackley,ACO,9,0.7336227704663227,1.3399288654327393
Ackley,ACO,10,0.6913440610227437,1.2134666442871094
Ackley,ACO,11,0.8885705748226234,1.2092766761779785
Ackley,ACO,12,0.35431917653861733,1.203371524810791
Ackley,ACO,13,0.46928874268693876,8.502378702163696
Ackley,ACO,14,0.41883654770552825,1.2230808734893799
Ackley,ACO,15,0.41154843977549804,1.2148549556732178
Ackley,ACO,16,0.48194504929268733,1.2058954238891602
Ackley,ACO,17,0.8720883991093165,1.2449655532836914
Ackley,ACO,18,0.30231736470912596,1.2352287769317627
Ackley,ACO,19,0.507144576390623,1.2298946380615234
Ackley,ACO,20,0.3354951369005872,1.270249605178833
Ackley,ACO,21,0.2411306782143403,1.227313756942749
Ackley,ACO,22,0.467167777686353,1.2607121467590332
