Test Function,Algorithm,Trial,Best Score,Time (s)
Rosenbrock,ACO,11,14.168944731057044,1.1755774021148682
Rosenbrock,ACO,12,11.307342015625117,1.197690486907959
Rosenbrock,ACO,13,20.460264298106843,1.1961157321929932
Rosenbrock,ACO,14,11.126623607659067,1.1981072425842285
Rosenbrock,ACO,15,14.269484084994382,1.1259820461273193
Rosenbrock,ACO,16,11.457971494804713,1.1973352432250977
Rosenbrock,ACO,17,11.753068334025823,1.2037532329559326
Rosenbrock,ACO,18,81.63972045404267,1.213836908340454
Rosenbrock,ACO,19,12.285616118648182,1.1579005718231201
Rosenbrock,ACO,20,13.549847400398678,1.2120914459228516
Rosenbrock,ACO,21,12.683300139411111,1.2124879360198975
Rosenbrock,ACO,22,10.033375206922013,1.2065472602844238
Rosenbrock,ACO,23,9.918336819892321,1.120253324508667
Rosenbrock,ACO,24,17.511430500125666,1.2173280715942383
Rosenbrock,ACO,25,14.074906547019467,1.205214262008667
Rosenbrock,ACO,26,19.536171857575688,1.2598373889923096
Rosenbrock,ACO,27,9.37404667294476,1.1188576221466064
Rosenbrock,ACO,28,13.269318150167102,1.2147271633148193
Rosenbrock,ACO,29,28.5688044535517,1.2112922668457031
Rosenbrock,ACO,30,13.240817545531987,1.189974308013916
Rosenbrock,ABC,1,621.3245127094674,0.12452173233032227
Rosenbrock,ABC,2,412.8286422241325,0.12861967086791992
Rosenbrock,ABC,3,431.3875122112877,0.12878870964050293
Rosenbrock,ABC,4,357.31249964379225,0.12543106079101562
Rosenbrock,ABC,5,361.8702629150821,0.12614989280700684
Rosenbrock,ABC,6,612.5755894085703,0.12732887268066406
Rosenbrock,ABC,7,486.76644986877875,0.1265735626220703
Rosenbrock,ABC,8,232.74796798515405,0.1245734691619873
Rosenbrock,ABC,9,434.8897572843026,7.429265737533569
Rosenbrock,ABC,10,332.18428011903103,0.1346907615661621
Rosenbrock,ABC,11,125.6606196452158,-7.236101150512695
Rosenbrock,ABC,12,272.04498163444833,0.12564992904663086
Rosenbrock,ABC,13,540.4719388739531,0.12565040588378906
Rosenbrock,ABC,14,383.51912280318066,0.12254643440246582
Rosenbrock,ABC,15,440.8607272388881,0.1249685287475586
Rosenbrock,ABC,16,196.1122259681782,0.12311387062072754
Rosenbrock,ABC,17,274.823723030745,0.12640953063964844
Rosenbrock,ABC,18,326.44841325396993,0.12326312065124512
Rosenbrock,ABC,19,442.2555773869567,0.12458109855651855
Rosenbrock,ABC,20,475.266280012055,0.12349057197570801
Rosenbrock,ABC,21,435.9589937316063,0.12297224998474121
Rosenbrock,ABC,22,251.66043604403217,0.12385225296020508
Rosenbrock,ABC,23,158.92879152880127,0.12601208686828613
Rosenbrock,ABC,24,325.06400819734085,0.12439727783203125
Rosenbrock,ABC,25,355.3457894644196,0.13499784469604492
Rosenbrock,ABC,26,352.7153366651886,0.12400364875793457
Rosenbrock,ABC,27,502.56578806354383,0.13457918167114258
Rosenbrock,ABC,28,348.13959551333426,0.12632393836975098
Rosenbrock,ABC,29,243.61787497659387,0.1326127052307129
Rosenbrock,ABC,30,374.26131200908725,0.13224554061889648
Rosenbrock,FA,1,135888.1016342883,0.35874128341674805
Rosenbrock,FA,2,247408.16997499685,0.35779452323913574
Rosenbrock,FA,3,208558.9908594769,0.36382150650024414
Rosenbrock,FA,4,181412.47860738792,0.3518068790435791
Rosenbrock,FA,5,183530.55907823722,0.36083102226257324
Rosenbrock,FA,6,100766.1525338848,0.36385369300842285
Rosenbrock,FA,7,143328.06495392675,7.642174482345581
Rosenbrock,FA,8,107578.5869478515,-7.008464097976685
Rosenbrock,FA,9,198302.33402174292,0.34966158866882324
Rosenbrock,FA,10,118766.23434480968,0.36106109619140625
Rosenbrock,FA,11,144591.82027607324,0.3495798110961914
Rosenbrock,FA,12,100125.16162998941,0.35149693489074707
Rosenbrock,FA,13,178722.33841571945,0.35247325897216797
Rosenbrock,FA,14,119215.15714841736,0.350144624710083
Rosenbrock,FA,15,116403.2521223532,0.3601570129394531
Rosenbrock,FA,16,464416.33239298605,0.3533763885498047
Rosenbrock,FA,17,117737.14590639186,0.3503422737121582
Rosenbrock,FA,18,88542.00183750849,0.35082006454467773
Rosenbrock,FA,19,92706.6269462663,0.3528635501861572
Rosenbrock,FA,20,141004.86926479972,0.3493666648864746
Rosenbrock,FA,21,152621.60446089657,7.637843608856201
Rosenbrock,FA,22,250817.64598614833,-7.01815128326416
Rosenbrock,FA,23,137193.61463658133,0.35291099548339844
Rosenbrock,FA,24,226535.78830944258,0.35070347785949707
Rosenbrock,FA,25,194932.8874821978,0.35848498344421387
Rosenbrock,FA,26,274530.1789404133,0.3552072048187256
Rosenbrock,FA,27,351961.56753843836,0.35274553298950195
Rosenbrock,FA,28,168611.16303590502,0.35699963569641113
Rosenbrock,FA,29,166227.14760782867,0.36564040184020996
Rosenbrock,FA,30,110648.51325387864,0.3522837162017822
Rosenbrock,CS,1,5417.987152542548,0.05933260917663574
Rosenbrock,CS,2,1327.0730052978095,0.06500124931335449
Rosenbrock,CS,3,2810.7858744816185,0.06190228462219238
Rosenbrock,CS,4,900.6599589479738,0.061177730560302734
Rosenbrock,CS,5,18065.87815447832,0.06203961372375488
Rosenbrock,CS,6,7029.643037963896,0.06368350982666016
Rosenbrock,CS,7,1293.0651879334334,0.06021285057067871
Rosenbrock,CS,8,2602.5335711426624,0.061119794845581055
Rosenbrock,CS,9,3713.7748012329475,0.060204267501831055
Rosenbrock,CS,10,17952.055713088503,0.06171536445617676
Rosenbrock,CS,11,3042.6014932809303,0.060553789138793945
Rosenbrock,CS,12,1741.2999039274064,0.06225919723510742
Rosenbrock,CS,13,25886.075870868874,0.061449527740478516
Rosenbrock,CS,14,2000.911899516832,0.05779409408569336
Rosenbrock,CS,15,8360.611047478777,0.06234550476074219
Rosenbrock,CS,16,162.02321735499254,0.06094646453857422
Rosenbrock,CS,17,1161.111116924448,0.06331706047058105
Rosenbrock,CS,18,23160.15477665783,0.06415963172912598
Rosenbrock,CS,19,10238.905813207806,0.061270952224731445
Rosenbrock,CS,20,152.805837209627,0.05770444869995117
Rosenbrock,CS,21,9427.14327634027,0.06498479843139648
Rosenbrock,CS,22,2746.1105909094467,0.06250524520874023
Rosenbrock,CS,23,145.67418300886206,0.0628519058227539
Rosenbrock,CS,24,259.2832281900582,0.06001996994018555
Rosenbrock,CS,25,22314.581760937162,0.06381773948669434
Rosenbrock,CS,26,1619.0197652527527,0.08031654357910156
Rosenbrock,CS,27,157.7784388728606,0.08104300498962402
Rosenbrock,CS,28,1643.4672529719674,0.07814216613769531
Rosenbrock,CS,29,4375.272399636139,7.380493402481079
Rosenbrock,CS,30,310.10898015827263,0.07535171508789062
