Test Function,Algorithm,Trial,Best Score,Time (s)
Rastrigin,PSO,1,12.245446177518517,0.011962413787841797
Rastrigin,PSO,2,17.250663597996763,0.011792898178100586
Rastrigin,PSO,3,12.931898232156172,0.015236377716064453
Rastrigin,PSO,4,14.563167111862285,0.012964963912963867
Rastrigin,PSO,5,23.091879329298067,0.01241755485534668
Rastrigin,PSO,6,25.235380340328206,0.01182866096496582
Rastrigin,PSO,7,7.613058642264136,0.012699365615844727
Rastrigin,PSO,8,7.136665959502281,0.011629581451416016
Rastrigin,PSO,9,20.896314312158097,0.012839555740356445
Rastrigin,PSO,10,21.431447417176088,0.012262105941772461
Rastrigin,PSO,11,19.594982250231098,0.011894464492797852
Rastrigin,PSO,12,8.38072613496712,0.012317895889282227
Rastrigin,PSO,13,15.571954923488022,0.011710643768310547
Rastrigin,PSO,14,6.173320712820498,0.011810779571533203
Rastrigin,PSO,15,12.269837750634537,0.013183832168579102
Rastrigin,PSO,16,10.42751832351152,0.012100696563720703
Rastrigin,PSO,17,13.239739400482122,0.012189149856567383
Rastrigin,PSO,18,17.550708529487594,0.013320207595825195
Rastrigin,PSO,19,15.965512234863326,0.011909008026123047
Rastrigin,PSO,20,17.97298580083563,0.012740135192871094
Rastrigin,PSO,21,11.321995681488673,0.012137651443481445
Rastrigin,PSO,22,19.553114000106973,0.0118560791015625
Rastrigin,PSO,23,7.436764454728618,0.012628316879272461
Rastrigin,PSO,24,16.407059067143408,0.011850595474243164
Rastrigin,PSO,25,22.603262641154387,0.011928558349609375
Rastrigin,PSO,26,25.877940448656318,0.01266026496887207
Rastrigin,PSO,27,18.57506895111446,0.012232065200805664
Rastrigin,PSO,28,19.116432160436545,0.012196540832519531
Rastrigin,PSO,29,11.049467302197655,0.012002706527709961
Rastrigin,PSO,30,11.688162182271725,0.011702537536621094
Rastrigin,ACO,1,40.900784050662445,1.212540626525879
Rastrigin,ACO,2,54.49629614352341,8.51185417175293
Rastrigin,ACO,3,49.705906022601795,-6.210903882980347
Rastrigin,ACO,4,53.41647121003055,1.1710646152496338
Rastrigin,ACO,5,49.463121299249096,1.1803786754608154
Rastrigin,ACO,6,55.4009516445167,1.1837174892425537
Rastrigin,ACO,7,55.93891642140724,1.1064872741699219
Rastrigin,ACO,8,42.41963530941834,1.1844570636749268
Rastrigin,ACO,9,44.63433231605037,1.2446966171264648
Rastrigin,ACO,10,56.86887393431892,1.1928844451904297
Rastrigin,ACO,11,54.05278423773181,1.10056734085083
Rastrigin,ACO,12,51.28614643613378,1.2232639789581299
Rastrigin,ACO,13,45.55110943470942,1.2146179676055908
Rastrigin,ACO,14,52.06052923903131,1.1927504539489746
Rastrigin,ACO,15,54.933577723691,1.1695935726165771
Rastrigin,ACO,16,59.727431783560746,1.2216172218322754
Rastrigin,ACO,17,48.88661232571594,1.1887106895446777
Rastrigin,ACO,18,46.22243030810228,1.208940029144287
Rastrigin,ACO,19,46.8011388418291,8.50791072845459
Rastrigin,ACO,20,58.058519112835484,1.1866352558135986
Rastrigin,ACO,21,55.54732823630015,1.197840929031372
Rastrigin,ACO,22,49.45932654237031,1.2199819087982178
Rastrigin,ACO,23,47.68700061778418,1.2164325714111328
Rastrigin,ACO,24,47.07728127736132,1.1914010047912598
Rastrigin,ACO,25,50.60828484593567,1.1836097240447998
Rastrigin,ACO,26,50.62736645581689,1.2332584857940674
Rastrigin,ACO,27,49.52978155867101,1.2513048648834229
Rastrigin,ACO,28,39.2779582080421,1.2009243965148926
Rastrigin,ACO,29,44.24419204982269,1.1976006031036377
Rastrigin,ACO,30,48.35310096337658,1.1731963157653809
Rastrigin,ABC,1,51.3153110594652,0.11274433135986328
Rastrigin,ABC,2,53.38248393308947,0.11980772018432617
Rastrigin,ABC,3,44.5459539444498,0.12810063362121582
Rastrigin,ABC,4,54.731447449994754,0.13515257835388184
Rastrigin,ABC,5,43.26885355564612,0.12685608863830566
Rastrigin,ABC,6,43.47887657475585,0.12736988067626953
Rastrigin,ABC,7,41.50289448087302,0.13852572441101074
Rastrigin,ABC,8,55.06510004599618,0.13960552215576172
Rastrigin,ABC,9,35.950366112178045,0.13084173202514648
Rastrigin,ABC,10,39.77949046126703,0.12151122093200684
Rastrigin,ABC,11,58.63768676765685,0.11359000205993652
Rastrigin,ABC,12,47.86227051361849,0.12685322761535645
Rastrigin,ABC,13,50.168451653216295,0.12053561210632324
Rastrigin,ABC,14,29.70335694948507,0.11953902244567871
Rastrigin,ABC,15,40.49604682538474,0.1316697597503662
Rastrigin,ABC,16,42.78412792263486,0.11521649360656738
Rastrigin,ABC,17,45.17043031797522,0.11746978759765625
Rastrigin,ABC,18,61.826163327622226,-7.515331745147705
Rastrigin,ABC,19,44.3769380212402,0.11798691749572754
Rastrigin,ABC,20,46.183450727994256,0.1147763729095459
Rastrigin,ABC,21,43.96835049415615,0.11553430557250977
Rastrigin,ABC,22,40.400847763171164,0.11383056640625
Rastrigin,ABC,23,54.24233266039937,0.11475396156311035
Rastrigin,ABC,24,42.095491080816295,0.11553668975830078
Rastrigin,ABC,25,43.96168299843541,0.11597967147827148
Rastrigin,ABC,26,55.77323859989671,0.11498236656188965
Rastrigin,ABC,27,55.42357628674924,0.11493182182312012
Rastrigin,ABC,28,42.26399264665636,0.11942625045776367
Rastrigin,ABC,29,56.203568475513876,0.11562967300415039
Rastrigin,ABC,30,46.07349916175068,0.11586761474609375
Rastrigin,FA,1,88.59696122018995,0.33144617080688477
Rastrigin,FA,2,82.3014602361406,0.33346009254455566
Rastrigin,FA,3,93.79571075115628,0.32770872116088867
Rastrigin,FA,4,91.03029558425973,0.33078598976135254
Rastrigin,FA,5,76.11422805355227,0.3287818431854248
Rastrigin,FA,6,86.2115040839273,0.3308265209197998
Rastrigin,FA,7,90.55153783588956,0.3250124454498291
Rastrigin,FA,8,95.97076218162138,0.3267045021057129
Rastrigin,FA,9,93.5766587103266,0.3250279426574707
Rastrigin,FA,10,102.63769267628892,0.33487606048583984
Rastrigin,FA,11,99.29851477831757,0.26578521728515625
Rastrigin,FA,12,87.29330467608568,0.3346729278564453
Rastrigin,FA,13,93.71296553517462,0.3282754421234131
Rastrigin,FA,14,69.16550370667127,0.35013890266418457
Rastrigin,FA,15,93.58812130506337,0.3397026062011719
Rastrigin,FA,16,85.05129600389378,0.33374476432800293
Rastrigin,FA,17,106.11490462812931,0.33362293243408203
Rastrigin,FA,18,97.5660097857624,0.3324313163757324
Rastrigin,FA,19,92.06429731815177,0.3304452896118164
Rastrigin,FA,20,96.50708472321547,0.3323554992675781
Rastrigin,FA,21,97.80234386898613,0.33162808418273926
Rastrigin,FA,22,83.19410395674606,0.33789658546447754
Rastrigin,FA,23,90.92056894778432,0.33219194412231445
Rastrigin,FA,24,91.70391487604216,0.3302488327026367
Rastrigin,FA,25,105.60874069032965,0.34857892990112305
Rastrigin,FA,26,90.79342309483937,0.2470874786376953
Rastrigin,FA,27,105.28765104272051,0.34954237937927246
Rastrigin,FA,28,95.36988972018011,0.33722615242004395
Rastrigin,FA,29,95.69031946354607,0.3266031742095947
Rastrigin,FA,30,108.8721055261315,0.34111714363098145
Rastrigin,CS,1,27.245786811023677,0.05410122871398926
Rastrigin,CS,2,31.268597050965212,0.05818462371826172
Rastrigin,CS,3,27.28973138533864,0.05462360382080078
Rastrigin,CS,4,43.38827455181723,0.05337953567504883
Rastrigin,CS,5,55.824198916353474,0.054587364196777344
Rastrigin,CS,6,20.142523726712994,0.05217123031616211
Rastrigin,CS,7,37.918139015144675,0.053461551666259766
Rastrigin,CS,8,17.019340911759997,0.05345487594604492
Rastrigin,CS,9,42.85155509309932,0.053870439529418945
Rastrigin,CS,10,17.966735305419675,0.05302238464355469
Rastrigin,CS,11,19.984623822677307,0.05277657508850098
Rastrigin,CS,12,63.80997028316163,0.05183863639831543
Rastrigin,CS,13,35.920712891508316,0.05424809455871582
Rastrigin,CS,14,41.23942984983883,0.055510759353637695
Rastrigin,CS,15,36.98720502079517,0.054228782653808594
Rastrigin,CS,16,11.034154547506915,0.054848670959472656
Rastrigin,CS,17,58.80333139645265,0.05340290069580078
Rastrigin,CS,18,19.77808823107874,0.05344128608703613
Rastrigin,CS,19,39.01149803702383,0.05344200134277344
Rastrigin,CS,20,13.183941127232444,0.05645751953125
Rastrigin,CS,21,47.02159949602597,0.054227590560913086
Rastrigin,CS,22,52.82527907657234,0.05304384231567383
Rastrigin,CS,23,33.90577011408655,0.05613875389099121
Rastrigin,CS,24,49.88314078817144,0.05554795265197754
Rastrigin,CS,25,22.32128565216736,0.05362677574157715
Rastrigin,CS,26,51.83781546025087,0.05266761779785156
Rastrigin,CS,27,18.237543677960673,0.05237317085266113
Rastrigin,CS,28,44.81754195903533,0.05180692672729492
Rastrigin,CS,29,48.619076989441936,0.05177474021911621
Rastrigin,CS,30,68.77467783357234,0.05523180961608887
Rastrigin,Hill Climbing,1,90.54076336075008,0.09639310836791992
Rastrigin,Hill Climbing,2,146.2577299994303,0.09314441680908203
Rastrigin,Hill Climbing,3,84.57099383939875,0.09512472152709961
Rastrigin,Hill Climbing,4,120.38904807386552,0.09657979011535645
Rastrigin,Hill Climbing,5,75.61639236403683,0.09709906578063965
Rastrigin,Hill Climbing,6,22.88401810120334,0.09375286102294922
Rastrigin,Hill Climbing,7,106.45998230901543,0.0935218334197998
Rastrigin,Hill Climbing,8,80.59118275427079,0.09319281578063965
Rastrigin,Hill Climbing,9,63.67697984165837,0.09430336952209473
Rastrigin,Hill Climbing,10,104.46992655739436,0.09372186660766602
Rastrigin,Hill Climbing,11,86.56084605037367,0.0959160327911377
Rastrigin,Hill Climbing,12,60.69229060897563,0.09838438034057617
Rastrigin,Hill Climbing,13,78.60128480352282,0.10103297233581543
Rastrigin,Hill Climbing,14,122.37896628806534,0.09383845329284668
Rastrigin,Hill Climbing,15,134.31845529774137,0.09382343292236328
