Test Function,Algorithm,Trial,Best Score,Time (s)
Sphere,ABC,30,4.8602619107299585,0.09998655319213867
Sphere,FA,1,14814.314536427384,0.3639042377471924
Sphere,FA,2,12172.947151681532,0.3520374298095703
Sphere,FA,3,17563.0474211191,0.3496382236480713
Sphere,FA,4,10485.037037481889,0.3555269241333008
Sphere,FA,5,17764.065483028066,0.34520959854125977
Sphere,FA,6,18047.032772218237,0.35532402992248535
Sphere,FA,7,16137.929518900786,0.35846662521362305
Sphere,FA,8,20787.270029493662,0.3500235080718994
Sphere,FA,9,15533.533617369998,0.3528454303741455
Sphere,FA,10,15832.551877758851,7.639188051223755
Sphere,FA,11,17653.055752164953,-7.017775058746338
Sphere,FA,12,18849.390643978153,0.3516511917114258
Sphere,FA,13,13802.967341815927,0.3543558120727539
Sphere,FA,14,16401.848032820082,0.36095142364501953
Sphere,FA,15,17834.423108261974,0.35262322425842285
Sphere,FA,16,18183.077793221863,0.351071834564209
Sphere,FA,17,14562.42649202054,0.34906506538391113
Sphere,FA,18,15623.907718295928,0.35692501068115234
Sphere,FA,19,11157.095921421962,0.35294294357299805
Sphere,FA,20,15542.575370610015,0.3549327850341797
Sphere,FA,21,13567.01525457625,0.3567662239074707
Sphere,FA,22,16211.275317100022,0.35192227363586426
Sphere,FA,23,22255.57088981319,0.3482778072357178
Sphere,FA,24,17933.91184157077,7.647576093673706
Sphere,FA,25,13049.223048764705,-7.016924142837524
Sphere,FA,26,11987.800563514527,0.3557548522949219
Sphere,FA,27,18810.827978016303,0.3535125255584717
Sphere,FA,28,15678.233580556865,0.35155224800109863
Sphere,FA,29,15754.490563537129,0.3524467945098877
Sphere,FA,30,13817.915280236153,0.36086463928222656
Sphere,CS,1,3534.229952491064,0.04565787315368652
Sphere,CS,2,6316.269887430143,0.0429990291595459
Sphere,CS,3,7989.328228341059,0.04383540153503418
Sphere,CS,4,4915.751757499473,0.044487714767456055
Sphere,CS,5,5496.003864676383,0.04555034637451172
Sphere,CS,6,6159.267735348397,0.04496312141418457
Sphere,CS,7,10027.12662120082,0.04738020896911621
Sphere,CS,8,12637.525763974492,0.0441131591796875
Sphere,CS,9,2320.9247652103413,0.045598745346069336
Sphere,CS,10,6790.896027659027,0.043791770935058594
Sphere,CS,11,7565.744223251184,0.04538393020629883
Sphere,CS,12,4625.2945376214175,0.04493570327758789
Sphere,CS,13,3446.480045895352,0.04402804374694824
Sphere,CS,14,3690.4032839097385,0.04584693908691406
Sphere,CS,15,8553.668754600594,0.045569658279418945
Sphere,CS,16,11569.219166056857,0.04549860954284668
Sphere,CS,17,3910.5409009629666,0.0455327033996582
Sphere,CS,18,5749.049088866503,0.04633903503417969
Sphere,CS,19,10155.721084988592,0.04902029037475586
Sphere,CS,20,8833.63054533525,0.04322934150695801
Sphere,CS,21,5443.210612581312,0.044363975524902344
Sphere,CS,22,7382.612764450634,0.04523730278015137
Sphere,CS,23,5901.601775964961,0.04596400260925293
Sphere,CS,24,6646.977993768673,0.04462480545043945
Sphere,CS,25,6058.832962877499,0.04625654220581055
